1555045805.988000, Muse-5A55/gyro, -3.2673645, 3.0729675, 4.216919
1555045805.988000, Muse-5A55/gyro, -2.863617, 3.2748413, 4.5458984
1555045805.988000, Muse-5A55/gyro, -2.5794983, 3.252411, 4.8150635
1555045805.988000, Muse-5A55/acc, 0.22875977, 0.1706543, 0.96307373
1555045805.988000, Muse-5A55/acc, 0.22735596, 0.17089844, 0.96655273
1555045805.988000, Muse-5A55/acc, 0.22644043, 0.1708374, 0.9697876
1555045805.988000, Muse-5A55/notch_filtered_eeg, 842.06885, 850.1502, 853.28754, 836.73553
1555045805.988000, Muse-5A55/variance_eeg, 115.58102, 18.3787, 18.422667, 101.24028
1555045805.988000, Muse-5A55/variance_notch_filtered_eeg, 92.84919, 16.150047, 17.315788, 89.336586
1555045805.988000, Muse-5A55/eeg, 838.0952, 850.58606, 855.0183, 848.1685, nan, nan
1555045805.988000, Muse-5A55/notch_filtered_eeg, 840.8081, 851.22705, 851.20056, 844.10004
1555045805.988000, Muse-5A55/variance_eeg, 115.58102, 18.3787, 18.422667, 101.24028
1555045805.989000, Muse-5A55/variance_notch_filtered_eeg, 92.84919, 16.150047, 17.315788, 89.336586
1555045805.989000, Muse-5A55/eeg, 851.79486, 850.18317, 852.1978, 841.31866, nan, nan
1555045805.989000, Muse-5A55/notch_filtered_eeg, 844.441, 850.228, 853.53406, 848.87494
1555045805.989000, Muse-5A55/variance_eeg, 115.58102, 18.3787, 18.422667, 101.24028
1555045805.989000, Muse-5A55/variance_notch_filtered_eeg, 92.84919, 16.150047, 17.315788, 89.336586
1555045805.989000, Muse-5A55/eeg, 843.73627, 849.7802, 850.18317, 839.707, nan, nan
1555045805.989000, Muse-5A55/notch_filtered_eeg, 845.35425, 851.1123, 853.8597, 841.70026
1555045805.989000, Muse-5A55/variance_eeg, 115.58102, 18.3787, 18.422667, 101.24028
1555045805.989000, Muse-5A55/variance_notch_filtered_eeg, 92.84919, 16.150047, 17.315788, 89.336586
1555045805.989000, Muse-5A55/eeg, 825.2015, 850.18317, 853.8095, 843.3333, nan, nan
1555045805.989000, Muse-5A55/notch_filtered_eeg, 833.9084, 851.2968, 851.32715, 841.1027
1555045805.989000, Muse-5A55/variance_eeg, 115.58102, 18.3787, 18.422667, 101.24028
1555045805.990000, Muse-5A55/variance_notch_filtered_eeg, 92.84919, 16.150047, 17.315788, 89.336586
1555045805.990000, Muse-5A55/eeg, 820.7692, 850.18317, 855.0183, 847.76556, nan, nan
1555045805.991000, Muse-5A55/elements/blink, 0
1555045805.992000, Muse-5A55/elements/jaw_clench, 0
1555045805.992000, Muse-5A55/elements/touching_forehead, 1
1555045805.998000, Muse-5A55/elements/alpha_absolute, 0.78173023, 0.22181748, 0.052048597, 0.81214756
1555045805.998000, Muse-5A55/elements/beta_absolute, 0.6704745, -0.056008346, -0.4036513, 0.4604547
1555045805.998000, Muse-5A55/elements/delta_absolute, 0.087743394, 0.09227659, 0.15207534, -0.20167865
1555045805.998000, Muse-5A55/elements/theta_absolute, 0.31682014, -0.14075099, -0.35256496, 0.12096559
1555045805.998000, Muse-5A55/elements/gamma_absolute, 0.43571544, -0.3586346, -0.7822609, 0.3330912
1555045805.998000, Muse-5A55/elements/alpha_relative, 0.3610168, 0.3371282, 0.3175066, 0.48139814
1555045805.999000, Muse-5A55/elements/beta_relative, 0.27942917, 0.17781535, 0.111186706, 0.2141961
1555045805.999000, Muse-5A55/elements/delta_relative, 0.0730366, 0.25018093, 0.39974174, 0.046631373
1555045805.999000, Muse-5A55/elements/theta_relative, 0.12377055, 0.14629403, 0.12506598, 0.09802175
1555045805.999000, Muse-5A55/elements/gamma_relative, 0.16274686, 0.088581495, 0.046498965, 0.15975264
1555045805.999000, Muse-5A55/elements/alpha_session_score, 0.5283019, 0.7777778, 0.3768116, 0.7826087
1555045805.999000, Muse-5A55/elements/beta_session_score, 0.6086956, 0.79310346, 0.083333336, 0.09677419
1555045805.999000, Muse-5A55/elements/delta_session_score, 0.0, 0.24675325, 0.3764706, 0.0
1555045805.999000, Muse-5A55/elements/theta_session_score, 0.21212122, 0.38356164, 0.17567568, 0.0
1555045805.999000, Muse-5A55/elements/gamma_session_score, 0.3, 0.30769232, 0.0, 0.21212122
1555045805.999000, Muse-5A55/elements/is_good, 1.0, 1.0, 1.0, 1.0
1555045805.999000, Muse-5A55/elements/horseshoe, 1.0, 1.0, 1.0, 1.0
1555045805.999000, Muse-5A55/notch_filtered_eeg, 826.82733, 850.3446, 853.7684, 846.3649
1555045805.999000, Muse-5A55/variance_eeg, 122.006386, 17.456707, 18.822449, 103.96317
1555045805.999000, Muse-5A55/variance_notch_filtered_eeg, 95.36887, 15.27372, 17.7148, 93.71654
1555045805.999000, Muse-5A55/eeg, 832.4542, 851.79486, 854.21246, 848.1685, nan, nan
1555045805.999000, Muse-5A55/notch_filtered_eeg, 830.65045, 848.3108, 855.518, 846.359
1555045805.999000, Muse-5A55/variance_eeg, 122.006386, 17.456707, 18.822449, 103.96317
1555045805.999000, Muse-5A55/variance_notch_filtered_eeg, 95.36887, 15.27372, 17.7148, 93.71654
1555045805.999000, Muse-5A55/eeg, 843.3333, 850.58606, 855.0183, 845.34796, nan, nan
1555045805.999000, Muse-5A55/notch_filtered_eeg, 828.951, 850.5994, 854.1093, 842.7462
1555045805.999000, Muse-5A55/variance_eeg, 122.006386, 17.456707, 18.822449, 103.96317
1555045805.999000, Muse-5A55/variance_notch_filtered_eeg, 95.36887, 15.27372, 17.7148, 93.71654
1555045806.000000, Muse-5A55/eeg, 832.8571, 850.18317, 856.63007, 840.5128, nan, nan
1555045806.000000, Muse-5A55/notch_filtered_eeg, 834.8484, 852.03284, 855.69305, 847.13495
1555045806.000000, Muse-5A55/variance_eeg, 122.006386, 17.456707, 18.822449, 103.96317
1555045806.000000, Muse-5A55/variance_notch_filtered_eeg, 95.36887, 15.27372, 17.7148, 93.71654
1555045806.000000, Muse-5A55/eeg, 836.08057, 850.989, 858.6447, 846.1539, nan, nan
1555045806.000000, Muse-5A55/notch_filtered_eeg, 841.98517, 852.5485, 857.8815, 846.4038
1555045806.000000, Muse-5A55/variance_eeg, 122.006386, 17.456707, 18.822449, 103.96317
1555045806.000000, Muse-5A55/variance_notch_filtered_eeg, 95.36887, 15.27372, 17.7148, 93.71654
1555045806.000000, Muse-5A55/eeg, 855.42126, 854.21246, 857.4359, 847.3626, nan, nan
1555045806.000000, Muse-5A55/notch_filtered_eeg, 846.74756, 852.91235, 857.53015, 842.6684
1555045806.000000, Muse-5A55/variance_eeg, 122.006386, 17.456707, 18.822449, 103.96317
1555045806.000000, Muse-5A55/variance_notch_filtered_eeg, 95.36887, 15.27372, 17.7148, 93.71654
1555045806.000000, Muse-5A55/eeg, 852.6007, 857.03296, 853.4066, 837.6923, nan, nan
1555045806.000000, Muse-5A55/notch_filtered_eeg, 851.9961, 853.2951, 856.36383, 841.107
1555045806.000000, Muse-5A55/variance_eeg, 122.006386, 17.456707, 18.822449, 103.96317
1555045806.000000, Muse-5A55/variance_notch_filtered_eeg, 95.36887, 15.27372, 17.7148, 93.71654
1555045806.000000, Muse-5A55/eeg, 838.9011, 854.61536, 853.8095, 834.87177, nan, nan
1555045806.000000, Muse-5A55/drlref, 1683443.2, 1697948.8
1555045806.000000, Muse-5A55/drlref, 1683443.2, 1697948.8
1555045806.000000, Muse-5A55/drlref, 1683443.2, 1697948.8
1555045806.000000, Muse-5A55/drlref, 1683443.2, 1697948.8
1555045806.000000, Muse-5A55/drlref, 1683443.2, 1698754.6
1555045806.001000, Muse-5A55/drlref, 1683443.2, 1697948.8
1555045806.001000, Muse-5A55/notch_filtered_eeg, 847.03015, 853.8499, 854.7378, 836.605
1555045806.001000, Muse-5A55/variance_eeg, 122.006386, 17.456707, 18.822449, 103.96317
1555045806.001000, Muse-5A55/variance_notch_filtered_eeg, 95.36887, 15.27372, 17.7148, 93.71654
1555045806.004000, Muse-5A55/eeg, 842.9304, 849.7802, 856.63007, 836.08057, nan, nan
1555045806.004000, Muse-5A55/notch_filtered_eeg, 838.3761, 853.2349, 853.05, 837.78955
1555045806.004000, Muse-5A55/variance_eeg, 122.006386, 17.456707, 18.822449, 103.96317
1555045806.004000, Muse-5A55/variance_notch_filtered_eeg, 95.36887, 15.27372, 17.7148, 93.71654
1555045806.004000, Muse-5A55/eeg, 842.9304, 848.5714, 852.1978, 838.9011, nan, nan
1555045806.004000, Muse-5A55/notch_filtered_eeg, 845.1325, 851.2892, 855.2693, 840.0885
1555045806.004000, Muse-5A55/variance_eeg, 122.006386, 17.456707, 18.822449, 103.96317
1555045806.004000, Muse-5A55/variance_notch_filtered_eeg, 95.36887, 15.27372, 17.7148, 93.71654
1555045806.005000, Muse-5A55/eeg, 835.2747, 849.3773, 853.00366, 844.94507, nan, nan
1555045806.005000, Muse-5A55/notch_filtered_eeg, 840.994, 849.8474, 852.21277, 836.3347
1555045806.005000, Muse-5A55/variance_eeg, 122.006386, 17.456707, 18.822449, 103.96317
1555045806.005000, Muse-5A55/variance_notch_filtered_eeg, 95.36887, 15.27372, 17.7148, 93.71654
1555045806.005000, Muse-5A55/eeg, 829.2308, 848.5714, 855.0183, 841.7216, nan, nan
1555045806.005000, Muse-5A55/notch_filtered_eeg, 831.6317, 848.07776, 850.62244, 838.2776
1555045806.005000, Muse-5A55/variance_eeg, 122.006386, 17.456707, 18.822449, 103.96317
1555045806.005000, Muse-5A55/variance_notch_filtered_eeg, 95.36887, 15.27372, 17.7148, 93.71654
1555045806.005000, Muse-5A55/eeg, 840.5128, 847.3626, 848.5714, 832.4542, nan, nan
1555045806.005000, Muse-5A55/notch_filtered_eeg, 833.5017, 845.4268, 855.86945, 846.75836
1555045806.005000, Muse-5A55/variance_eeg, 122.006386, 17.456707, 18.822449, 103.96317
1555045806.005000, Muse-5A55/variance_notch_filtered_eeg, 95.36887, 15.27372, 17.7148, 93.71654
1555045806.005000, Muse-5A55/eeg, 850.58606, 846.55676, 850.58606, 844.5421, nan, nan
1555045806.005000, Muse-5A55/notch_filtered_eeg, 845.35046, 846.4228, 850.658, 840.4501
1555045806.005000, Muse-5A55/variance_eeg, 122.006386, 17.456707, 18.822449, 103.96317
1555045806.005000, Muse-5A55/variance_notch_filtered_eeg, 95.36887, 15.27372, 17.7148, 93.71654
1555045806.005000, Muse-5A55/eeg, 847.76556, 848.5714, 853.00366, 850.989, nan, nan
1555045806.005000, Muse-5A55/notch_filtered_eeg, 845.5896, 847.67554, 848.52234, 839.7142
1555045806.005000, Muse-5A55/variance_eeg, 122.006386, 17.456707, 18.822449, 103.96317
1555045806.006000, Muse-5A55/variance_notch_filtered_eeg, 95.36887, 15.27372, 17.7148, 93.71654
1555045806.006000, Muse-5A55/eeg, 839.304, 847.3626, 851.39197, 838.49817, nan, nan
1555045806.006000, Muse-5A55/notch_filtered_eeg, 834.0128, 848.44946, 853.1435, 847.4554
1555045806.006000, Muse-5A55/variance_eeg, 122.006386, 17.456707, 18.822449, 103.96317
1555045806.006000, Muse-5A55/variance_notch_filtered_eeg, 95.36887, 15.27372, 17.7148, 93.71654
1555045806.006000, Muse-5A55/eeg, 819.15753, 844.1392, 853.00366, 838.49817, nan, nan
1555045806.006000, Muse-5A55/notch_filtered_eeg, 840.1007, 847.99066, 851.38336, 840.40234
1555045806.006000, Muse-5A55/variance_eeg, 122.006386, 17.456707, 18.822449, 103.96317
1555045806.006000, Muse-5A55/variance_notch_filtered_eeg, 95.36887, 15.27372, 17.7148, 93.71654
1555045806.006000, Muse-5A55/eeg, 819.9634, 846.55676, 850.989, 842.9304, nan, nan
1555045806.006000, Muse-5A55/notch_filtered_eeg, 834.5102, 846.37866, 851.1335, 836.12396
1555045806.006000, Muse-5A55/variance_eeg, 122.006386, 17.456707, 18.822449, 103.96317
1555045806.006000, Muse-5A55/variance_notch_filtered_eeg, 95.36887, 15.27372, 17.7148, 93.71654
1555045806.006000, Muse-5A55/eeg, 834.0659, 851.79486, 849.3773, 834.4689, nan, nan
1555045806.006000, Muse-5A55/notch_filtered_eeg, 824.13153, 847.5538, 851.9978, 841.89325
1555045806.006000, Muse-5A55/variance_eeg, 122.006386, 17.456707, 18.822449, 103.96317
1555045806.006000, Muse-5A55/variance_notch_filtered_eeg, 95.36887, 15.27372, 17.7148, 93.71654
1555045806.006000, Muse-5A55/eeg, 848.5714, 853.4066, 850.58606, 832.0513, nan, nan
1555045806.006000, Muse-5A55/gyro, -2.4075317, 2.9309082, 4.9720764
1555045806.006000, Muse-5A55/gyro, -2.594452, 2.8710938, 5.181427
1555045806.006000, Muse-5A55/gyro, -2.7290344, 3.2598877, 5.532837
1555045806.006000, Muse-5A55/acc, 0.2310791, 0.1706543, 0.9706421
1555045806.006000, Muse-5A55/acc, 0.23797607, 0.17175293, 0.9673462
1555045806.006000, Muse-5A55/acc, 0.23815918, 0.17254639, 0.96325684
