1555045838.387000, Muse-5A55/gyro, -0.42617798, -7.5515747, 3.4916687
1555045838.387000, Muse-5A55/gyro, -0.51589966, -7.416992, 3.7309265
1555045838.387000, Muse-5A55/gyro, -0.38131714, -6.7814636, 3.9627075
1555045838.387000, Muse-5A55/acc, -0.14129639, 0.08508301, 0.99072266
1555045838.388000, Muse-5A55/acc, -0.13024902, 0.08630371, 0.99346924
1555045838.388000, Muse-5A55/acc, -0.121154785, 0.08807373, 0.994812
1555045838.388000, Muse-5A55/notch_filtered_eeg, 839.0377, 853.36426, 844.1234, 843.93054
1555045838.389000, Muse-5A55/variance_eeg, 104.09036, 42.172295, 15.16359, 82.749886
1555045838.389000, Muse-5A55/variance_notch_filtered_eeg, 90.66456, 40.462906, 14.376227, 72.04842
1555045838.389000, Muse-5A55/eeg, 838.49817, 848.5714, 848.1685, 834.87177, nan, nan
1555045838.389000, Muse-5A55/notch_filtered_eeg, 832.035, 851.9751, 845.86597, 834.38104
1555045838.389000, Muse-5A55/variance_eeg, 104.09036, 42.172295, 15.16359, 82.749886
1555045838.389000, Muse-5A55/variance_notch_filtered_eeg, 90.66456, 40.462906, 14.376227, 72.04842
1555045838.389000, Muse-5A55/eeg, 836.4835, 850.58606, 848.1685, 826.8132, nan, nan
1555045838.390000, Muse-5A55/notch_filtered_eeg, 836.4571, 844.35, 846.4493, 832.0547
1555045838.390000, Muse-5A55/variance_eeg, 104.09036, 42.172295, 15.16359, 82.749886
1555045838.390000, Muse-5A55/variance_notch_filtered_eeg, 90.66456, 40.462906, 14.376227, 72.04842
1555045838.391000, Muse-5A55/eeg, 833.2601, 848.97437, 844.1392, 831.2454, nan, nan
1555045838.391000, Muse-5A55/notch_filtered_eeg, 841.91156, 846.91895, 846.24927, 834.2472
1555045838.391000, Muse-5A55/variance_eeg, 104.09036, 42.172295, 15.16359, 82.749886
1555045838.391000, Muse-5A55/variance_notch_filtered_eeg, 90.66456, 40.462906, 14.376227, 72.04842
1555045838.391000, Muse-5A55/eeg, 840.9158, 848.5714, 845.34796, 847.3626, nan, nan
1555045838.391000, Muse-5A55/notch_filtered_eeg, 833.8477, 851.29065, 844.9245, 830.97107
1555045838.391000, Muse-5A55/variance_eeg, 104.09036, 42.172295, 15.16359, 82.749886
1555045838.391000, Muse-5A55/variance_notch_filtered_eeg, 90.66456, 40.462906, 14.376227, 72.04842
1555045838.391000, Muse-5A55/eeg, 839.304, 850.58606, 846.55676, 840.10986, nan, nan
1555045838.392000, Muse-5A55/notch_filtered_eeg, 836.17084, 850.933, 848.55194, 840.7145
1555045838.392000, Muse-5A55/variance_eeg, 104.09036, 42.172295, 15.16359, 82.749886
1555045838.392000, Muse-5A55/variance_notch_filtered_eeg, 90.66456, 40.462906, 14.376227, 72.04842
1555045838.392000, Muse-5A55/eeg, 836.08057, 852.1978, 850.18317, 835.6777, nan, nan
1555045838.392000, Muse-5A55/notch_filtered_eeg, 838.3575, 851.26154, 848.5322, 843.8032
1555045838.392000, Muse-5A55/variance_eeg, 104.09036, 42.172295, 15.16359, 82.749886
1555045838.393000, Muse-5A55/variance_notch_filtered_eeg, 90.66456, 40.462906, 14.376227, 72.04842
1555045838.393000, Muse-5A55/eeg, 832.0513, 852.6007, 851.39197, 845.34796, nan, nan
1555045838.393000, Muse-5A55/notch_filtered_eeg, 837.9383, 853.6891, 847.4523, 840.4336
1555045838.393000, Muse-5A55/variance_eeg, 104.09036, 42.172295, 15.16359, 82.749886
1555045838.393000, Muse-5A55/variance_notch_filtered_eeg, 90.66456, 40.462906, 14.376227, 72.04842
1555045838.393000, Muse-5A55/eeg, 834.87177, 853.8095, 848.1685, 842.9304, nan, nan
1555045838.393000, Muse-5A55/notch_filtered_eeg, 833.25916, 852.49725, 850.94946, 841.89594
1555045838.393000, Muse-5A55/variance_eeg, 104.09036, 42.172295, 15.16359, 82.749886
1555045838.393000, Muse-5A55/variance_notch_filtered_eeg, 90.66456, 40.462906, 14.376227, 72.04842
1555045838.393000, Muse-5A55/eeg, 836.08057, 852.6007, 850.18317, 826.8132, nan, nan
1555045838.393000, Muse-5A55/notch_filtered_eeg, 829.46313, 851.81555, 849.8673, 838.51447
1555045838.393000, Muse-5A55/variance_eeg, 104.09036, 42.172295, 15.16359, 82.749886
1555045838.393000, Muse-5A55/variance_notch_filtered_eeg, 90.66456, 40.462906, 14.376227, 72.04842
1555045838.393000, Muse-5A55/eeg, 823.9927, 853.00366, 849.3773, 826.4103, nan, nan
1555045838.395000, Muse-5A55/notch_filtered_eeg, 831.42365, 851.79315, 849.9941, 824.8211
1555045838.395000, Muse-5A55/variance_eeg, 104.09036, 42.172295, 15.16359, 82.749886
1555045838.395000, Muse-5A55/variance_notch_filtered_eeg, 90.66456, 40.462906, 14.376227, 72.04842
1555045838.395000, Muse-5A55/eeg, 819.5604, 852.1978, 848.1685, 830.4396, nan, nan
1555045838.395000, Muse-5A55/notch_filtered_eeg, 828.21594, 852.4111, 850.98834, 827.75684
1555045838.395000, Muse-5A55/variance_eeg, 104.09036, 42.172295, 15.16359, 82.749886
1555045838.395000, Muse-5A55/variance_notch_filtered_eeg, 90.66456, 40.462906, 14.376227, 72.04842
1555045838.395000, Muse-5A55/eeg, 832.0513, 846.55676, 853.00366, 832.8571, nan, nan
1555045838.497000, Muse-5A55/gyro, -0.31402588, -6.527252, 4.28421
1555045838.497000, Muse-5A55/gyro, -0.85983276, -6.6394043, 4.4711304
1555045838.500000, Muse-5A55/gyro, -1.622467, -7.035675, 4.104767
1555045838.500000, Muse-5A55/acc, -0.11743164, 0.08758545, 1.0029297
1555045838.500000, Muse-5A55/acc, -0.12121582, 0.08477783, 1.0006714
1555045838.500000, Muse-5A55/acc, -0.122802734, 0.08319092, 0.989624
1555045838.501000, Muse-5A55/notch_filtered_eeg, 824.1751, 854.4153, 848.7134, 827.2609
1555045838.501000, Muse-5A55/variance_eeg, 104.09036, 42.172295, 15.16359, 82.749886
1555045838.501000, Muse-5A55/variance_notch_filtered_eeg, 90.66456, 40.462906, 14.376227, 72.04842
1555045838.501000, Muse-5A55/eeg, 839.304, 850.58606, 852.1978, 818.3516, nan, nan
